etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[60,70)",Surinaams,"[20,30)",8940
Autochtoon,"[60,70)",Surinaams,"[30,40)",14480
Autochtoon,"[60,70)",Surinaams,"[40,50)",15300
Autochtoon,"[60,70)",Surinaams,"[50,60)",24270
Autochtoon,"[60,70)",Surinaams,"[60,70)",10730
Autochtoon,"[60,70)",Turks,"[0,20)",1360
Autochtoon,"[60,70)",Turks,"[20,30)",6570
Autochtoon,"[60,70)",Turks,"[30,40)",6810
Autochtoon,"[60,70)",Turks,"[40,50)",8920
Autochtoon,"[60,70)",Turks,"[50,60)",5730
Autochtoon,"[60,70)",Turks,"[60,70)",200
Autochtoon,"[70,80)",Autochtoon,"[0,20)",70
Autochtoon,"[70,80)",Autochtoon,"[20,30)",2210
Autochtoon,"[70,80)",Autochtoon,"[30,40)",1930
Autochtoon,"[70,80)",Autochtoon,"[40,50)",1640
Autochtoon,"[70,80)",Autochtoon,"[50,60)",2240
